Show,First Report,Last Report,At Bushnell,Bushnell First,,First report Season,First Bushnell season
& Juliet,9/22/2024,5/31/2026,Yes,5/10/2026,,2025,2026
1776 - 2023,2/19/2023,8/6/2023,No,,,2023,
A Beautiful Noise Pre,6/26/2022,8/7/2022,No,,,2022,
"A Beautiful Noise, The Neil Diamond Musical",9/22/2024,5/31/2026,Yes,10/6/2024,,2025,2025
A Bronx Tale The Musical,7/21/2019,3/8/2020,No,,,2020,
A Christmas Carol 2021,11/21/2021,12/12/2021,No,,,2022,
A Christmas Carol 2021 SF,11/28/2021,12/26/2021,No,,,2022,
A Christmas Story 2019,11/10/2019,12/15/2019,No,,,2020,
A Christmas Story 2021,12/5/2021,1/2/2022,No,,,2022,
A Christmas Story 2025,11/16/2025,12/21/2025,No,,,2026,
A Soldier's Play,12/11/2022,6/25/2023,No,,,2023,
A Wonderful World Pre,10/1/2023,10/29/2023,No,,,2024,
Ain't Too Proud,12/12/2021,7/27/2025,Yes,6/4/2023,,2022,2023
Aladdin,7/21/2019,3/8/2020,No,,,2020,
Aladdin 2022,10/16/2022,5/12/2024,Yes,11/13/2022,,2023,2023
An American in Paris,1/12/2020,3/8/2020,No,,,2020,
An American in Paris 2022,2/6/2022,5/22/2022,No,,,2022,
An Officer and a Gentleman,10/24/2021,6/5/2022,No,,,2022,
Anastasia,7/21/2019,5/21/2023,Yes,1/19/2020,,2020,2020
Annie 2022,10/16/2022,7/28/2024,No,,,2023,
Annie 2024,11/17/2024,5/18/2025,No,,,2025,
BOOP! The Betty Boop Musical Pre,12/3/2023,12/24/2023,No,,,2024,
Back to the Future: The Musical,6/9/2024,5/31/2026,Yes,6/8/2025,,2024,2025
Bandstand,11/3/2019,3/8/2020,No,,,2020,
Beautiful The Carole King Musical,9/22/2019,6/19/2022,No,,,2020,
Beauty and the Beast - 30th Anniversary,7/6/2025,5/31/2026,Yes,4/12/2026,,2026,2026
Beetlejuice,12/11/2022,5/31/2026,Yes,6/2/2024,,2023,2024
Blue Man Group,11/3/2019,2/19/2023,Yes,3/20/2022,,2020,2022
Blue Man Group 2026,1/18/2026,5/31/2026,No,,,2026,
Buddy: The Buddy Holly Story,11/21/2021,12/12/2021,No,,,2022,
Cats 2019,7/21/2019,3/8/2020,No,,,2020,
Cats 2021,10/24/2021,6/18/2023,No,,,2022,
Charlie and the Chocolate Factory,7/21/2019,6/19/2022,No,,,2020,
Chicago 2020,3/8/2020,3/8/2020,No,,,2020,
Chicago 2022,10/23/2022,5/17/2026,No,,,2023,
Cirque Dreams Holidaze 2025,11/23/2025,12/28/2025,No,,,2026,
Cirque Dreams Holidaze 2025 - A,12/7/2025,12/7/2025,No,,,2026,
Cirque Dreams Holidaze 2025 - B,12/7/2025,12/7/2025,No,,,2026,
Cirque Dreams: Holidaze,11/24/2019,12/15/2019,No,,,2020,
Cirque Dreams: Holidaze 2023,12/24/2023,12/31/2023,No,,,2024,
Cirque Dreams: Holidaze II,11/24/2019,12/15/2019,No,,,2020,
Cirque Dreams: Holidaze III,12/1/2019,12/15/2019,No,,,2020,
Clue,3/3/2024,5/31/2026,No,,,2024,
Come From Away,7/21/2019,5/11/2025,Yes,12/25/2022,,2020,2023
Company 2023,10/8/2023,10/6/2024,No,,,2024,
Dear Evan Hansen,7/21/2019,4/27/2025,Yes,4/3/2022,,2020,2022
Death Becomes Her pre,5/12/2024,6/2/2024,No,,,2024,
Dr. Seuss How the Grinch Stole Christmas 2019,11/17/2019,12/15/2019,Yes,12/15/2019,,2020,2020
Dr. Seuss How the Grinch Stole Christmas 2021,11/21/2021,12/12/2021,No,,,2022,
Dr. Seuss How the Grinch Stole Christmas 2022,11/20/2022,12/25/2022,No,,,2023,
Dr. Seuss' How the Grinch Stole Christmas 2023-A,11/26/2023,12/31/2023,No,,,2024,
Dr. Seuss' How the Grinch Stole Christmas 2023-B,11/26/2023,12/31/2023,No,,,2024,
Dr. Seuss' How the Grinch Stole Christmas 2024-Old Max,11/3/2024,12/29/2024,No,,,2025,
Dr. Seuss' How the Grinch Stole Christmas 2024-Young Max,11/10/2024,12/29/2024,No,,,2025,
Dr. Seuss' How the Grinch Stole Christmas 2025,11/23/2025,1/4/2026,No,,,2026,
Elf 2022,11/6/2022,1/1/2023,No,,,2023,
Elf 2024,11/3/2024,12/29/2024,No,,,2025,
Elf 2025,11/2/2025,12/28/2025,No,,,2026,
Escape to Margaritaville,11/3/2019,11/21/2021,No,,,2020,
Fiddler on the Roof 2018,11/3/2019,5/21/2023,No,,,2020,
Finding Neverland,1/12/2020,3/8/2020,No,,,2020,
Freestyle Love Supreme,1/23/2022,8/7/2022,No,,,2022,
Frozen,11/17/2019,9/1/2024,Yes,2/11/2024,,2020,2024
Funny Girl 2023,9/10/2023,4/13/2025,Yes,6/23/2024,,2024,2024
Girl From The North Country,10/8/2023,10/20/2024,No,,,2024,
